Title	Prediction
House Republicans Fret About Winning Their Health Care Suit The New York Times	0
Rift Between Officers and Residents as Killings Persist in South Bronx - The New York Times	0
"Tyrus Wong, ‘Bambi’ Artist Thwarted by Racial Bias, Dies at 106 - The New York Times"	0
"Among Deaths in 2016, a Heavy Toll in Pop Music - The New York Times"	0
Kim Jong-un Says North Korea Is Preparing to Test Long-Range Missile - The New York Times	0
"Sick With a Cold, Queen Elizabeth Misses New Year’s Service - The New York Times"	0
Taiwan’s President Accuses China of Renewed Intimidation - The New York Times	0
"After ‘The Biggest Loser,’ Their Bodies Fought to Regain Weight - The New York Times"	0
"First, a Mixtape. Then a Romance. - The New York Times"	0
Calling on Angels While Enduring the Trials of Job - The New York Times	0
Weak Federal Powers Could Limit Trump’s Climate-Policy Rollback - The New York Times	0
Can Carbon Capture Technology Prosper Under Trump? - The New York Times	0
"Mar-a-Lago, the Future Winter White House and Home of the Calmer Trump - The New York Times"	0
How to form healthy habits in your 20s - The New York Times	0
Turning Your Vacation Photos Into Works of Art - The New York Times	0
"As Second Avenue Subway Opens, a Train Delay Ends in (Happy) Tears - The New York Times"	0
Dylann Roof Himself Rejects Best Defense Against Execution - The New York Times	0
"Modi’s Cash Ban Brings Pain, but Corruption-Weary India Grits Its Teeth - The New York Times"	0
Suicide Bombing in Baghdad Kills at Least 36 - The New York Times	0
Fecal Pollution Taints Water at Melbourne’s Beaches After Storm - The New York Times	0
"N.F.L. Playoffs: Schedule, Matchups and Odds - The New York Times"	0
Mariah Carey’s Manager Blames Producers for New Year’s Eve Nightmare - The New York Times	0
"Damaged by War, Syria’s Cultural Sites Rise Anew in France - The New York Times"	0
George Michael’s Freedom Video: An Oral History - The New York Times	0
"With New Congress Poised to Convene, Obama’s Policies Are in Peril - The New York Times"	0
Republicans Stonewalled Obama. Now the Ball Is in Their Court. - The New York Times	0
"Istanbul, Donald Trump, Benjamin Netanyahu: Your Morning Briefing - The New York Times"	0
Inside Trump Defense Secretary Pick’s Efforts to Halt Torture - The New York Times	0
ISIS Claims Responsibility for Istanbul Nightclub Attack - The New York Times	0
The Afghan War and the Evolution of Obama - The New York Times	0
Tips for Your Post-Holiday Clutter Purge - The New York Times	0
Benjamin Netanyahu Questioned in Israel Graft Inquiry - The New York Times	0
"France Lets Workers Turn Off, Tune Out and Live Life - The New York Times"	0
"Airline Pilot, Believed to Be Drunk, Is Pulled From Cockpit in Canada - The New York Times"	0
Riot by Drug Gangs in Brazil Prison Leaves at Least 56 Dead - The New York Times	0
SpaceX Says It’s Ready to Launch Rockets Again - The New York Times	0
A ‘World Unto Itself’ in New York Area Yeshivas: Floor Hockey - The New York Times	0
Inside Jonathan Lethem’s Oddball Trove - The New York Times	0
An Immigrant’s Instinct to Aid Others Collides With Financial Need - The New York Times	0
"House Republicans, Under Fire, Back Down on Gutting Ethics Office - The New York Times"	0
"Republican Party, Megyn Kelly, Titanic: Your Wednesday Briefing - The New York Times"	0
Turmoil Overshadows First Day of Republican-Controlled Congress - The New York Times	0
"With Choice of Trade Negotiator, Trump Prepares to Confront Mexico and China - The New York Times"	0
Trump Appears to Side With Assange Over Intelligence Agencies’ Conclusions - The New York Times	0
California Hires Eric Holder as Legal Bulwark Against Donald Trump - The New York Times	0
Israeli Soldier Who Shot Wounded Palestinian Assailant Is Convicted - The New York Times	0
Work. Walk 5 Minutes. Work. - The New York Times	0
It’s Time to Ignore Advice About Which Stocks to Buy in 2017 - The New York Times	0
"Megyn Kelly’s Jump to NBC From Fox News Will Test Her, and the Networks - The New York Times"	0
Anchor Becomes the News as Megyn Kelly Leaves Fox News for NBC - The New York Times	0
President Xi’s Great Chinese Soccer Dream - The New York Times	0
Tech Giants Seem Invincible. That Worries Lawmakers. - The New York Times	0
"Chinese City Official Shoots 2 Others and Kills Himself, State Media Says - The New York Times"	0
"Drop in Gang Violence Drove New York City Shootings Below 1,000 in 2016 - The New York Times"	0
How ‘Elites’ Became One of the Nastiest Epithets in American Politics - The New York Times	0
"10 Engaging Proposals, From the Rooftop to the Subway - The New York Times"	0
"For a Mother With Big Dreams, Two Forbidden Words: ‘I Can’t’ - The New York Times"	0
Senate Republicans Open Fight Over Obama Health Law - The New York Times	0
The Parliamentary Tactic That Could Obliterate Obamacare - The New York Times	0
"In Republicans’ Ethics Office Gambit, a Spectacle of Tweets and Retreats - The New York Times"	0
Ivanka Trump’s New Washington Home Once Belonged to a Putin Foe - The New York Times	0
Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times	0
"Dylann Roof, Addressing Court, Offers No Apology or Explanation for Massacre - The New York Times"	0
"In Turkey, U.S. Hand Is Seen in Nearly Every Crisis - The New York Times"	0
A New Casualty of Syria’s War: Drinking Water in Damascus - The New York Times	0
My Canada - The New York Times	0
How We Put Together Our 52 Places to Go List - The New York Times	0
Places to Put Your Hands Together - The New York Times	0
"Getting Around by Rail, Sail or Foot - The New York Times"	0
5 Must-See Shows if You’re in New York This Month - The New York Times	0
Remaking Kennedy Airport Is Governor’s Next Big Plan - The New York Times	0
Cyberwar for Sale - The New York Times	0
Is Bitcoin Creator Satoshi Nakamoto Writing a Book? The Crypto Community Doesnt Think So	1
Switzerland looks to liberalise cryptocurrency banking access	1
Thailands new cryptocurrency laws skip the big debate	1
Major Indian Cryptocurrency Exchange Shares What to Expect When RBI Ban Begins	1
Cryptocurrency Market Update: 0x (ZRX) Surging 20% on Coinbase Rumors	1
Cryptocurrency racket: key accused surrenders	1
"Despite ban, crypto-exchanges finding new ways to prosper"	1
